model,test_set,regime_class,depth_level,rmse_T,rmse_S,r_T,r_S,n_profiles
baseline,spatial,upwelling,1000.0,0.12717661261558533,0.014417937025427818,0.48770168126658847,0.516761444940717,35
baseline,spatial,upwelling,1500.0,0.15251819789409637,0.009746484458446503,0.48798864675409437,0.6502889461953225,35
baseline,spatial,upwelling,2000.0,0.10952284187078476,0.010378994978964329,0.12892313099352354,-0.005996069753234454,35
baseline,spatial,upwelling,-1.0,1.079066276550293,0.21901525557041168,0.9927504131514826,0.8968989458271655,35
baseline,spatial,all,0.0,0.5559523701667786,0.8583932518959045,0.8641213906743458,0.5873526021665985,1044
baseline,spatial,all,10.0,0.5079240798950195,0.827526330947876,0.8745905636150461,0.5957558386886048,1044
baseline,spatial,all,20.0,0.5166356563568115,0.7218195199966431,0.8314241280477082,0.5705370480615661,1044
baseline,spatial,all,30.0,0.6331246495246887,0.6482688784599304,0.6714252120141359,0.5444831150209741,1044
baseline,spatial,all,50.0,0.973729133605957,0.6079533696174622,0.3009569976129127,0.4430704202787235,1044
baseline,spatial,all,75.0,1.6046714782714844,0.47163182497024536,0.4449863508079973,0.39463458234311893,1044
baseline,spatial,all,100.0,1.9480748176574707,0.2544047236442566,0.4971306547526613,0.263171025419509,1044
baseline,spatial,all,125.0,1.7782776355743408,0.1426117718219757,0.4941245384407965,0.08419362042279506,1044
baseline,spatial,all,150.0,1.5695937871932983,0.10344395041465759,0.39616543440709867,0.098974624655679,1044
baseline,spatial,all,200.0,0.9854696989059448,0.06489938497543335,0.24923721187690054,0.2015478722584842,1044
baseline,spatial,all,250.0,0.6027422547340393,0.049068693071603775,0.21436499646913396,0.1512444336689538,1044
